Company,employees,anrv,latest,date
Pangea.app,140,2100000,2000000,44406
"Numly™, Inc.",27,2000000,,44197
Epoch,23,1000000,3600000,44593
Altoura,40,2900000,1100000,43714
Spiketrap,23,3000000,3000000,44013
Ryvit,38,1500000,3500000,43760
Bainbridge Health,12,2000000,1600000,43266
Upkey,190,2000000,2600000,44228
BoxFox,2,4200000,1000000,42459
Smartria®,23,2100000,100000,42993
Second Front Systems,61,3000000,2100000,44197
Identify3D,10,1000000,3250000,42803
UtilizeCore.com,82,4000000,5300000,44362
Fulfil.IO,52,2869000,,42552
Ecomedes,18,4000000,3250000,44259
Tierra Biosciences,18,3000000,2600000,43354
"ShearShare, Inc.",19,2000000,2300000,44144
Homebase,160,3800000,500000,42936
Monogoto,31,2600000,11000000,44356
Dispatchr,2,4200000,150000,43668
SpotDraft,130,1000000,1500000,43517
"ServusConnect, Inc.",9,2499000,50000,43091
"ServusConnect, Inc.",9,2499000,50000,43091
HoneyComb,5,4420000,290870,41919
Petasense,21,4000000,1800000,42907
Padlet,39,1000000,1700000,42265
Obviously AI,14,4100000,1100000,44378
MindsDB,18,3000000,3000000,44470
Wishup.co,250,2000000,1000000,44424
testRigor,61,2000000,4100000,44409
Zeplin,140,4387000,1200000,42332
Nomad Go,9,1500000,2732863,43720
Undock,20,2000000,1600000,44136
OpenTransact (fka Zipmark),5,2300000,1500000,41487
Tettra,5,2000000,664000,42515
Preteckt,33,3000000,1700000,43862
RentHub,3,2400000,20000,40787
"Moback, Inc.",45,2000000,500000,42670
HASH,22,1000000,2500000,43983
Identify3D,10,1000000,3250000,42803
Worksuite (formerly Shortlist),52,3000000,3700000,42892
Pangea.app,140,2100000,2000000,44406
"Metric Insights, Inc.",17,3958000,1650000,42067
"Switcher, Inc.",61,2500000,2400000,44228
Opolis,31,3200000,5000000,44287
Ubiq Security,26,2300000,6400000,44154
ByondXR,44,4800000,7000000,44419
Bainbridge Health,12,2000000,1600000,43266
chiefofstaff.com,14,2000000,293000,43873
KYKLO,49,2230000,8500000,44148
PatientWing,16,2400000,150000,42816
Byteflies,37,1000000,1105827,42675
Roomeze,9,3200000,2000000,43242
Metrobi,35,2800000,2328796,44378
Zirtue,12,3100000,2500000,44287
